Sentence,Type,Factual/Subjective,Sentiment
"The sky is blue.",Affirmation,Factual,Neutral
"I love sunny days!",Affirmation,Subjective,Happiness
"This pizza is disgusting.",Affirmation,Subjective,Anger
"Water boils at 100 degrees Celsius.",Affirmation,Factual,Neutral
"I don't think this is a good idea.",Negation,Subjective,Sadness
"She never comes to meetings on time.",Negation,Factual,Anger
"This is the best book I've ever read!",Affirmation,Subjective,Euphoria
"That was not a fair decision.",Negation,Subjective,Anger
"The train will arrive at 5 PM.",Affirmation,Factual,Neutral
"I hate when it rains all day.",Affirmation,Subjective,Sadness
"No one likes waiting in long lines.",Negation,Subjective,Anger
"Chocolate is made from cocoa beans.",Affirmation,Factual,Neutral
"I don't feel comfortable in crowds.",Negation,Subjective,Sadness
"The earth orbits the sun.",Affirmation,Factual,Neutral
"That movie wasn't interesting at all.",Negation,Subjective,Sadness
"This cake tastes amazing!",Affirmation,Subjective,Euphoria
"She isn't very friendly to strangers.",Negation,Subjective,Anger
"The museum closes at 6 PM.",Affirmation,Factual,Neutral
"I really enjoy hiking in the mountains.",Affirmation,Subjective,Happiness
"The stock market is unpredictable.",Affirmation,Factual,Neutral
"His attitude isn't helpful.",Negation,Subjective,Anger
"Math is an important subject in school.",Affirmation,Factual,Neutral
"I don't like the way he talks to me.",Negation,Subjective,Anger
"Exercising regularly is beneficial for health.",Affirmation,Factual,Happiness
"Nobody should have to go through that.",Negation,Subjective,Sadness
"This is the most beautiful sunset I've seen!",Affirmation,Subjective,Euphoria
"He never listens to advice.",Negation,Factual,Anger
"My dog is the cutest in the world!",Affirmation,Subjective,Euphoria
"Electric cars produce less pollution.",Affirmation,Factual,Happiness
"You shouldn't be so rude to others.",Negation,Subjective,Anger
"It's not healthy to eat too much sugar.",Negation,Factual,Sadness
"I feel so happy today!",Affirmation,Subjective,Happiness
"That wasn't a smart decision.",Negation,Subjective,Sadness
"Learning new languages is rewarding.",Affirmation,Factual,Happiness
"This coffee is too bitter.",Affirmation,Subjective,Anger
"Nobody enjoys feeling ignored.",Negation,Subjective,Sadness
"The weather is perfect for a picnic!",Affirmation,Subjective,Happiness
"Your efforts are not appreciated enough.",Negation,Subjective,Sadness
"She is always so kind to everyone.",Affirmation,Subjective,Happiness
"I wouldn't recommend that restaurant.",Negation,Subjective,Anger
"The internet has revolutionized communication.",Affirmation,Factual,Neutral
"I'm not satisfied with the service here.",Negation,Subjective,Anger
"Music has the power to change moods.",Affirmation,Factual,Happiness
"He never keeps his promises.",Negation,Factual,Anger
"This dress is absolutely gorgeous!",Affirmation,Subjective,Euphoria
"Fast food isn't the healthiest option.",Negation,Factual,Sadness
"He is a great leader and motivator!",Affirmation,Subjective,Happiness
"No one deserves to be treated unfairly.",Negation,Subjective,Anger
"Hard work often leads to success.",Affirmation,Factual,Happiness
"I can't stand traffic jams.",Negation,Subjective,Anger
"Winning this competition feels incredible!",Affirmation,Subjective,Euphoria
"Rainy days make me feel melancholic.",Affirmation,Subjective,Sadness
"Solar energy is a renewable resource.",Affirmation,Factual,Neutral
"I get so frustrated when my phone battery dies.",Affirmation,Subjective,Anger
"The smell of fresh bread makes me happy.",Affirmation,Subjective,Happiness
"Waking up early isn't my favorite thing to do.",Negation,Subjective,Sadness
"I adore spending time with my family.",Affirmation,Subjective,Happiness
"Global warming is a serious issue.",Affirmation,Factual,Neutral
"Mondays are the worst.",Affirmation,Subjective,Anger
"No one should have to suffer injustice.",Negation,Subjective,Sadness
"Reaching my goals fills me with euphoria!",Affirmation,Subjective,Euphoria
"This place isn't welcoming at all.",Negation,Subjective,Anger
"Dogs are incredibly loyal animals.",Affirmation,Factual,Happiness
"I feel so alone sometimes.",Affirmation,Subjective,Sadness
"Running in the morning boosts my mood.",Affirmation,Subjective,Happiness
