,precision,recall,f1-score,support
anger,0.5476190476190477,0.8846153846153846,0.6764705882352942,26.0
boredom,0.2916666666666667,0.4375,0.35,16.0
disgust,0.6666666666666666,0.4444444444444444,0.5333333333333333,9.0
anxiety,0.0,0.0,0.0,14.0
happiness,0.3333333333333333,0.21428571428571427,0.2608695652173913,14.0
sadness,0.5,0.4166666666666667,0.45454545454545453,12.0
neutral,0.42857142857142855,0.375,0.4,16.0
accuracy,0.4485981308411215,0.4485981308411215,0.4485981308411215,0.4485981308411215
macro avg,0.3954081632653061,0.3960731728588871,0.3821741344759247,107.0
weighted avg,0.3965287049399198,0.4485981308411215,0.4064949033804353,107.0
